,쇼핑몰,주소,테마
46,농업회사법인 나무와열매 주식회사,제주특별자치도 서귀포시 안덕면 덕수동로25번길 42-8,"#과일청 #수제청 #유기농
#안덕 #기념품 #쇼핑 #관광기념품 #상점/상가"
47,다나한한복 앤 러블리베베,제주특별자치도 제주시 연삼로 355,"#체험 #쇼핑 #관광기념품
#상점/상가"
48,다시방프로젝트,제주특별자치도 제주시 조천읍 북촌12길 28,"#공방 #기념품 #쇼핑
#관광기념품 #상점/상가"
49,당근가게,제주특별자치도 제주시 서광로5길 4,"#쇼핑 #기념품 #관광기념품
#상점/상가"
50,대정오일시장,제주특별자치도 서귀포시 대정읍 신영로36번길 65,"#체험관광 #쇼핑 #전통시장
#상점/상가 #오일장 #관광기념품"
51,더솜라탄,제주특별자치도 제주시 노형1길 8-9,"#쇼핑 #라탄 #원데이클래스
#관광기념품 #상점/상가"
52,도예시선,제주특별자치도 제주시 구좌읍 종달논길 36-18,"#체험관광 #액티비티 #쇼핑
#도자기 #실내 #관광기념품 #상점/상가"
53,동문시장,제주특별자치도 제주시 동문로 16,"##전통시장#상설시장 #제주시 #동문시장 #전통시장 #쇼핑
#상점/상가 #관광기념품"
54,디자인에이비,제주특별자치도 제주시 한경면 판포4길 22,"#쇼핑 #기념품 #관광기념품
#상점/상가"
55,딜다책방,제주특별자치도 제주시 삼성로1길 1,"#쇼핑 #서점 #기념품
#관광기념품 #상점/상가"
56,라바북스,제주특별자치도 서귀포시 남원읍 태위로 87 1층,"#쇼핑 #서점 #기념품
#관광기념품 #상점/상가"
57,라온명품관,제주특별자치도 제주시 한림읍 금능남로 127,#쇼핑 #관광기념품 #상점/상가
58,마야블루,제주특별자치도 제주시 월랑로6길 21,"#쇼핑 #라탄 #원데이클래스
#관광기념품 #상점/상가"
59,마켓오름,제주특별자치도 서귀포시 이어도로 1061,"#쇼핑 #특산품 #기념품
#지오브랜드 #관광기념품 #상점/상가"
60,만춘서점,제주특별자치도 제주시 조천읍 함덕로 9,"#쇼핑 #서점 #기념품
#관광기념품 #상점/상가"
61,명품수산,제주특별자치도 제주시 관덕로14길 10,"#특산품 #쇼핑 #관광기념품
#상점/상가"
62,모슬포중앙시장,제주특별자치도 서귀포시 대정읍 영서중로 3,"#전통시장 #쇼핑 #상점/상가
#관광기념품"
63,몸냥공작소,제주특별자치도 제주시 애월읍 하소로 595,"#공방 #기념품 #쇼핑
#관광기념품 #상점/상가"
64,미앤제주,제주특별자치도 제주시 한림읍 광산로 942,"#특산품 #공방 #기념품
#쇼핑 #관광기념품 #상점/상가"
65,미카의달콤한작업실,제주특별자치도 서귀포시 안덕면 사계남로84번길 4,"#휴식/힐링 #쇼핑 #관광기념품
#상점/상가"
66,바다보석,제주특별자치도 서귀포시 중앙로4번길 20,"#쇼핑 #기념품 #관광기념품
#상점/상가"
67,바당의물질,제주특별자치도 제주시 임항로 49,"#특산품 #쇼핑 #관광기념품
#상점/상가"
68,바이올가 영어마을점,제주특별자치도 서귀포시 대정읍 에듀시티로 40,"#쇼핑 #친환경 #관광기념품
#상점/상가"
69,바이제주,제주특별자치도 제주시 서해안로 626,"#쇼핑 #기념품 #관광기념품
#상점/상가"
70,보미다,"제주특별자치도 서귀포시 이어도로 936-1, 2층 201호",#쇼핑 #관광기념품 #상점/상가
71,보통청춘기록실 청춘사진관,제주특별자치도 제주시 한림읍 귀덕11길 1,"#커플 #친구 #아이
#부모 #사진관 #스튜디오 #어린이"
72,북타임,제주특별자치도 서귀포시 중앙로 109 2층,"#책 #서점 #책방
#쇼핑 #관광기념품 #상점/상가"
73,사슴책방,제주특별자치도 제주시 조천읍 중산간동로 698-71,"#커플 #혼자 #친구
#휴식/힐링 #쇼핑 #사계절 #청년 #전시와행사 #관광기념품 #상점/상가"
74,사회복지법인 평화의마을,제주특별자치도 서귀포시 대정읍 중산간서로 2195-12,"#특산품 #쇼핑 #관광기념품
#상점/상가"
75,서문공설시장,제주특별자치도 제주시 서문로4길 13-2,"#전통시장 #쇼핑 #상점/상가
#관광기념품"
76,서쪽가게,제주특별자치도 제주시 한림읍 한림로 336,"#쇼핑 #실내 #빈티지
#협재해수욕장 #관광기념품 #상점/상가"
