	가게	주소	테마
436	명월국민학교	제주특별자치도 제주시 한림읍 명월로 48	"#갤러리 #카페 #커피
#음식 #차 #청귤차 #꽃차 #아메리카노 #바닐라라떼 #카페라떼 #녹차라떼"
437	모래비카페	제주특별자치도 제주시 구좌읍 해맞이해안로 462	"#카페 #한라봉차 #커피
#음식 #핸드드립커피 #아인슈페너 #에이드 #차"
438	모리노아루요	제주특별자치도 제주시 애월읍 하소로 769-58	"#덮밥전문점 #마스터셰프코리아우승 #메로구이덮밥
#해산물덮밥 #일식 #음식 #장어덮밥 #덮밥 #치킨가라아게"
439	모메든식당	제주특별자치도 서귀포시 일주서로 508	"#흑돼지 #근고기 #흑돼지모둠한판
#음식 #흑돼지구이 #대패삼겹살 #삼겹살 #오겹살 #목살 #된장찌개 #김치찌개 #돼지구이"
440	모모제이	제주특별자치도 제주시 인다8길 36-1	"#카페 #팬케이크 #샌드위치
#샐러드 #음식 #브런치 #아메리카노 #아보카도샐러드 #치킨샐러드 #바나나팬케이크 #토스트 #케이크"
441	모슬포에서	서귀포시 대정읍 영서중로13번길 9-9	"#녹두빈대떡 #보말톳메밀전 #흑돼지김치전
#깅이죽 #성게김밥 #음식"
442	모시란	제주특별자치도 제주시 남광로 117-1	"#찻집 #차 #다과
#양갱 #경단 #전통차 #카페 #음식 #오미자주스 #인삼주스 #떡 #식당"
443	모실래기해녀해물촌	제주특별자치도 제주시 우도면 우도해안길 248	"#해산물 #물회 #전복죽
#성게 #음식"
444	몬떼마레	제주특별자치도 서귀포시 안덕면 사계북로 120 루시드엠빌딩	"#파스타 #양식 #레스토랑
#음식"
445	무인카페 산책	제주특별자치도 제주시 애월읍 고내로7길 49	"#카페 #무인카페 #바다전망
#음식"
446	물질식육식당	제주특별자치도 서귀포시 강정동 4251-8	"#복국 #고기짬뽕 #한식
#음식 #복지리탕 #왕만두"
447	물회영해초영	제주 제주시 우도면 우도해안길 46	"#물회 #해물우동 #횟집
#음식 #고등어회 #한치물회 #성게비빔밥 #초밥"
448	미나리식당	제주특별자치도 서귀포시 중앙로59번길 11	"#돼지불고기 #백반 #한식
#음식 #청국장 #닭도리탕 #멸치국수 #국밥 #소머리국밥 #콩국수"
449	바다어사또	제주특별자치도 제주시 조천읍 조함해안로 478	"#벵어돔 #참돔 #고등어회
#횟집 #음식 #회 #회덮밥 #우럭매운탕 #횔어우럭매운탕"
450	바당꺼몬딱	제주특별자치도 제주시 우도면 우도해안길 144	"#해산물 #뿔소라구이 #라면
#음식 #전복죽 #보말죽 #해물라면 #전복"
451	바당지기	제주특별자치도 제주시 구좌읍 월정7길 28-21	"#우럭정식 #우럭튀김 #전복뚝배기
#갈치조림 #옥돔구이 #음식 #매운탕 #우럭매운탕 #횔어우럭매운탕 #정식 #전복죽 #제주갈치조림"
452	바람개비	제주특별자치도 제주시 우도면 우도해안길 1032	"#라면 #해물라면 #해물몬딱라면
#음식"
453	백사장횟집	제주특별자치도 서귀포시 표선면 표선당포로 19-3	"#회 #횟집 #해산물
#갈치조림 #음식 #광어 #광어회 #갈치회 #고등어회"
454	벨로인카페	제주특별자치도 제주시 서해안로 150 (도두일동)	"#카페 #커피 #빙수
#음식 #자몽에이드 #자몽차 #아메리카노 #카페라떼 #카페모카 #바닐라라떼 #녹차라떼 #딸기라떼 #헤이즐넛라떼"
455	벨롱	제주특별자치도 제주시 구좌읍 해맞이해안로 1652	"#카페 #커피 #샌드위치
#음식 #디저트 #아메리카노 #카페라떼 #카페모카 #에이드 #스무디"
456	보엠	제주특별자치도 제주시 원노형로 102	"#빵집 #베이커리 #발효빵
#디저트 #음식 #빵 #바게트 #프레즐 #우유식빵"
457	보영반점	제주특별자치도 제주시 한림읍 한림로 692-1	"#중식 #간짬뽕 #탕수육
#고량주 #볶음짬뽕 #음식 #짬뽕 #짜장면 #잡채밥"
458	복댕이	제주특별자치도 서귀포시 성산읍 일출로 34	"#흑돼지 #우도땅콩막걸리 #한라봉막걸리
#음식 #목살 #오겹살 #김치찌개 #된장찌개 #칼국수"
459	복여네왕돈가스	제주특별자치도 제주시 우도면 우도로 323	"#돈까스 #해물라면 #수제왕돈까스
#음식 #수제돈까스 #비빔국수 #과일주스 #라면"
460	봉봉커피	제주특별자치도 제주시 우도면 우도해안길 630	"#카페 #커피 #우도땅콩라떼
#제주한라봉라떼 #음식 #아메리카노 #에스프레소 #스무디 #주스 #과일주스 #카페라떼 #바닐라라떼 #딸기라떼"
461	봉평메밀가	제주시 신대로 10길 41	"#메밀 #수육 #메밀비빔국수
#메밀막국수 #음식"
462	불만나	제주특별자치도 제주시 애월읍 하귀5길 14	"#흑오겹살 #매콤불고기 #김치말이국수
#음식"
463	블랙포엠	제주특별자치도 제주시 조천읍 조함해안로 476-1	"#카페 #커피 #아메리카노
#음식 #바닐라라떼 #카페라떼 #카푸치노 #콜드브루 #얼그레이 #에이드"
464	비양도 올레카페	제주특별자치도 제주시 한림읍 비양도길 24	"#카페 #커피 #생과일주스
#빙수 #음식 #아메리카노 #수제청 #수제청음료 #에이드 #에스프레소 #카페라떼 #스무디 #아이스티"
465	비원	제주특별자치도 제주시 수목원길 3	"#한식 #삼계탕 #갈비탕
#음식 #닭모래주머니구이"
466	빌라드아토	제주특별자치도 서귀포시 태평로 413	"#카페 #커피 #마카롱
#음식 #에이드 #떡볶이 #샌드위치 #브런치 #파스타 #크림파스타 #애플망고스무디 #망고빙수 #티라미수"
467	빌레왓	제주특별자치도 서귀포시 안덕면 화순서동로 14	"#버거 #파스타 #피자
#카페 #레스토랑 #음식 #샌드위치 #스파게티 #크림파스타 #그라탕"
468	빠라빠빵	제주특별자치도 제주시 서해안로 472-2	"#빵집 #베이커리 #식빵
#커피 #음식 #빵 #디저트 #아메리카노"
469	사려니숲길화덕피자	제주특별자치도 제주시 조천읍 남조로 2133	"#화덕피자 #피자 #양식
#음식 #숲 #숲길 #고르곤졸라화덕피자 #마르게리타화덕피자"
470	사해방흑돼지	제주특별자치도 서귀포시 천제연로 263	"#흑돼지 #오겹살 #흑돼지세트
#음식 #흑돼지구이 #돼지구이 #전복뚝배기 #갈비탕 #두루치기"
471	산포식당	제주특별자치도 서귀포시 성산읍 서성일로 1134	"#갈치조림 #고등어조림 #음식
#제주갈치조림 #갈치국 #해물뚝배기 #성게미역국 #옥돔구이 #갈치구이 #제주갈치구이"
472	산호사 해녀의집	제주특별자치도 제주시 우도면 연평리 2565	"#회 #칼국수 #파전
#해산물 #음식 #전복물회 #해물칼국수 #문어숙회"
473	산호풍경	제주특별자치도 제주시 우도면 우도해안길 252	"#흑돼지 #탕수육 #흑돼지탕수육
#짜장면 #짬뽕 #음식 #중식"
474	살랑살랑샤브샤브	제주특별자치도 제주시 서해안로 612	"#샤브샤브 #해물 #전복
#흑돼지 #소고기 #음식 #한식"
475	상춘재	제주특별자치도 제주시 조천읍 선진길 26	"#비빔밥 #멍게비빔밥 #꼬막비빔밥
#추어탕 #음식 #고등어구이 #쌈밥 #성게비빔밥"
476	새벽숯불가든	제주특별자치도 서귀포시 성산읍 일주동로 4036	"#흑돼지 #참숯구이 #한식
#음식 #흑돼지구이 #돼지구이 #오겹살 #목살"
477	색달식당	제주특별자치도 서귀포시 색달중앙로 23	"#갈치조림 #성게미역국 #전복뚝배기
#옥돔구이 #고등어구이 #음식"
478	서귀포흑돈	제주특별자치도 서귀포시 칠십리로 278	"#흑돼지 #열무냉면 #김치찌개
#고등어구이 #음식"
479	서민흑돼지	제주특별자치도 서귀포시 예래로 50	"#흑돼지 #돼지고기 #한식
#음식 #흑돼지구이 #돼지구이 #돼지김치찌개 #김치찌개 #된장찌개 #오겹살 #삼겹살 #대패삼겹살 #목살"
480	섯동네해녀의집	제주특별자치도 제주시 우도면 연평리 2515-5	"#해산물 #문어 #전복
#칼국수 #한치 #음식"
481	성미가든	제주특별자치도 제주시 조천읍 교래1길 2	"#닭볶음탕 #샤브샤브 #닭고기코스
#음식 #닭도리탕 #백숙 #죽"
482	성산 고등어쌈밥 김치찜	제주특별자치도 서귀포시 성산읍 섭지코지로25번길 122-5	"#묵은지 #고등어쌈밥 #전복성게미역국
#은갈치조림 #한식 #음식 #고등어 #고등어조림 #고등어구이 #간장게장 #전복뚝배기 #갈치조림 #제주갈치조림 #갈치구이 #제주갈치구이 #옥돔구이"
483	성산진미식당	제주특별자치도 서귀포시 성산읍 일출로 290	"#해산물뚝배기 #전복 #바지락
#음식 #한식 #고등어조림 #오분작뚝배기 #옥돔구이 #갈치조림 #성게미역국 #전복죽 #고등어구이"
484	성신흑돼지	제주특별자치도 서귀포시 표선면 민속해안로 580	"#흑돼지 #목살 #돼지고기
#음식 #흑돼지구이 #돼지구이 #오겹살 #삼겹살 #항정살 #된장찌개 #김치찌개"
485	성아시	제주특별자치도 제주시 한림읍 금능길 68	"#해물뚝배기 #해물라면 #해물파전
#음식 #성게미역국 #물회 #라면"
486	소라횟집	제주특별자치도 제주시 구좌읍 해맞이해안로 1240-3	"#회 #활우럭지리 #활우럭조림
#음식 #광어 #광어회 #회덮밥 #물회 #한치물회 #한치"
487	소울키친	제주특별자치도 서귀포시 천제연로 131-7	"#수제버거 #스테이크 #이탈리안
#양식 #음식"
488	손맛촌	제주특별자치도 제주시 조천읍 비자림로 661	"#갈치 #전복물회 #전복뚝배기
#성게비빔밥 #음식 #갈치조림 #제주갈치조림 #제주갈치구이 #갈치구이 #성게미역국"
489	송악산 엉클스 화덕 피자	제주특별자치도 서귀포시 대정읍 송악관광로 392	"#쌈찹 #피자 #화덕피자
#빠네 #음식 #고르곤졸라화덕피자 #파스타 #크림파스타 #치킨샐러드"
490	쇼밥	제주특별자치도 서귀포시 보목로64번길 138	"#커플 #친구 #경관/포토
#휴식/힐링 #카페 #음식 #포토스팟 #스테이크 #에이드 #아메리카노 #식당"
491	수다뜰	제주특별자치도 제주시 구좌읍 용눈이오름로 8	"#전복 #해산물 #돌솥밥
#한식 #음식 #콩국수 #두루치기"
492	순정문어	제주특별자치도 제주시 서해안로 579	"#해물 #문어 #문어숙회
#씨푸드 #음식"
493	쉐프 이야기	제주특별자치도 제주시 연동4길 22	"#짬뽕 #해물탕면 #크로켓
#음식 #딱새우찜 #회 #유린기 #국물닭발"
494	스시우다	제주특별자치도 제주시 용마로 30	"#초밥 #일식 #고등어
#갈치 #음식 #스시 #냉소바 #우동 #돈까스"
495	스테이위드커피	제주특별자치도 서귀포시 안덕면 형제해안로 32	"#카페 #커피 #드립커피
#커피클래스 #음식 #핸드드립커피 #아메리카노 #바닐라라떼 #샌드위치"
496	승범이네집	제주특별자치도 제주시 월랑로 56-1 (노형동)	"#자연산회 #횟집 #매운탕
#돔지리 #음식 #회 #한식 #다금바리 #초밥 #해산물 #모듬회 #방어 #방어회"
497	시골길	제주특별자치도 제주시 연동13길 9	"#낙지볶음 #청국장뚝배기 #한식
#음식"
498	신옛촌	제주특별자치도 서귀포시 안덕면 사계로 187-6	"#갈치조림 #통갈치구이 #고등어회
#한식 #제주갈치구이 #전복물회 #옥돔구이 #전복해물탕 #전복죽"
499	아뜰리에안	제주특별자치도 서귀포시 막숙포로 166	"#차 #아이스티 #케이크
#음식 #청귤차 #아메리카노 #에스프레소 #카페라떼 #카푸치노"
500	아모르키친	제주특별자치도 서귀포시 표선면 표선동서로 221	"#파스타 #치킨 #파스타키친
#음식 #수제맥주 #감자튀김 #양념치킨 #치킨가라아게"
501	아서원	서귀포시 일주동로 8143	"#중식 #짬뽕 #짜장면
#음식 #고기짬뽕 #냉우동 #탕수육"
502	아웃도어키친	제주특별자치도 서귀포시 동홍로 370	"#해물라면 #흑돼지오겹살 #흑돼지목살
#음식 #브런치 #디저트 #파스타 #크림파스타 #미트볼파스타 #라면"
503	아일랜드조르바	제주특별자치도 제주시 구좌읍 대수길 9	"#카페 #커피 #댕유자에이드
#드립커피커피 #음식 #핸드드립커피 #에이드 #유자에이드"
504	아일랜드팩토리 풍류	제주 제주시 관덕로8길 31	"#녹담만설 #원두 #카페
#커피 #음료 #음식 #아메리카노 #핸드드립커피 #카페라떼 #카페모카 #녹차라떼 #바닐라라떼 #카푸치노"
505	아톰스낵	제주특별자치도 제주시 구좌읍 구좌로 91	"#떡볶이 #돈까스 #문어덮밥
#샐러드우동 #모둠튀김 #음식 #덮밥 #불고기 #만두 #샐러드 #우동"
506	안거리밖거리	제주특별자치도 서귀포시 솔동산로 6-1	"#돔베고기 #옥돔구이 #한식
#향토음식 #음식 #정식 #비빔밥 #막걸리"
507	애월 고깃간	제주특별자치도 제주시 애월읍 애월해안로 32	"#부모 #커플 #친구
#음식 #돼지구이 #흑돼지구이 #가브리살 #항정살 #대패삼겹살 #오겹살 #식당"
508	애월리안	제주특별자치도 제주시 애월읍 애원로 4	"#해산물 #씨푸드 #레스토랑
#음식"
509	어머니닭집	제주특별자치도 서귀포시 성산읍 고성오조로 13	"#치킨 #후라이드치킨 #양념치킨
#맥주 #음식 #백숙"
510	어머니몸국	제주특별자치도 제주시 조천읍 신북로 245	"#향토음식 #몸국 #물회
#감자탕 #국밥 #빙떡 #음식"
511	어머니와고등어	제주특별자치도 제주시 도두봉2길 43	"#갈치조림 #성게미역국 #통갈치
#한식 #음식 #고등어 #고등어구이 #고등어조림 #생선구이정식 #생선조림 #갈치구이 #제주갈치조림 #제주갈치구이 #갈치국"
512	어머니의뜻을담다 단지	제주특별자치도 제주시 애월읍 하귀2길 66	"#한정식 #한우육전 #병어조림
#애월한정식 #음식 #돼지고기완자전 #꽃게무침 #조기구이"
513	어멍횟집	제주특별자치도 서귀포시 성산읍 동류암로39번길 9-2	"#생선탕수 #해산물모듬 #활어회
#한식 #횟집 #음식 #고등어회 #회 #광어회"
514	어사촌도야지	제주특별자치도 제주시 애월읍 천덕로 440-6	"#흑돼지 #가브리살 #목살
#고기국수 #음식 #흑돼지구이 #오겹살 #삼겹살 #갈매기살 #멸치국수 #콩국수"
515	어우늘	제주특별자치도 제주시 연북로 222	"#퓨전 #전복구이 #전복
#전복죽 #전복돌솥밥 #음식 #전복버터구이 #옥돔구이"
516	어전횟집	제주특별자치도 서귀포시 대정읍 최남단해안로 31	"#일식 #회 #횟집
#해산물 #음식 #방어 #방어회 #모듬회"
517	엉덩물	제주특별자치도 제주시 성두길 7-7	"#부모 #커플 #혼자
#친구 #물회 #음식 #고등어조림 #갈치조림 #제주갈치조림 #성게국 #성게미역국 #한치물회 #고등어구이 #식당 #한치"
518	엉클망고	제주특별자치도 제주시 우도면 우도해안길 342	"#요거트망고스무디 #우도땅콩아이스크림 #생망고스무디
#더치커피 #음식 #아이스크림"
519	엉클통김밥	제주특별자치도 제주시 1100로 3283	"#굴비빔밥 #톳김밥 #김밥
#음식 #김치김밥 #참치김밥 #더블치즈김밥 #땡초김밥 #멸치김밥 #떡볶이 #냉소바 #돈까스"
520	에릭스에스프레소 카페	제주시 구좌읍 세화7길 17-7	"#카페 #티라미수 #케이크
#디저트 #음료 #음식 #아메리카노 #빵 #생크림케익 #카페라떼 #카페모카 #바닐라라떼 #콜드브루"
521	에피소드	제주특별자치도 제주시 한경면 고조로 62	"#베이커리 #구겔호프 #커피
#음식"
522	엘리펀시아	제주특별자치도 제주시 1100로 3124	#카페 #아이 #음식
523	연우네	제주특별자치도 제주시 은수길 110	"#한식 #옹심이 #수제비
#비빔밥 #음식 #들깨수제비 #들깨칼국수 #야채비빔밥 #도토리묵무침"
524	옐로우카페	제주 서귀포시 중문관광로 90	"#바나나 #빙그레 #카페
#아이스크림 #쉐이크 #음식 #쿠키 #디저트 #빵 #아메리카노 #녹차라떼 #딸기라떼 #카페모카 #카페라떼"
525	옛고을갈비	제주특별자치도 제주시 한림읍 한림상로 137	"#생갈비 #고기구이 #한식
#음식 #양념갈비 #갈비 #돼지구이"
526	오데뜨	제주특별자치도 제주시 애월읍 애원로 289	"#퓨전 #전복크림우동 #핑크크림우동
#음식 #리조또 #우동 #스테이크"
527	오동여식당	제주특별자치도 제주시 추자면 추자로 20	"#횟집 #회 #해산물
#음식 #물회 #생선구이정식 #매운탕 #갈치 #갈치구이 #갈치조림 #제주갈치조림 #제주갈치구이"
528	오드랑베이커리	제주특별자치도 제주시 조천읍 조함해안로 552-3	"#빵집 #베이커리 #카페
#음식 #빵 #디저트 #마늘바게트 #아메리카노"
529	오로라식당	제주특별자치도 제주시 우도면 우도로 174 농협 건너편	"#김치찌개 #두루치기 #아구찜
#한식 #가정식 #음식 #생선구이정식 #굴비정식 #정식"
530	오르다키친	제주시 애월읍 애월해안로 672	"#통문어튀김 #전복문어게우밥 #흑돼지돈까스
#전복해물볶음우동 #음식"
531	오일등식당	제주특별자치도 제주시 도공로 22-1	"#동태찌개 #한식 #찌개
#음식"
532	오조해녀의 집	제주특별자치도 서귀포시 성산읍 한도로 141-13	"#해산물 #전복 #전복죽
#문어 #해삼 #음식 #소라 #전복버터구이"
533	올댓제주	제주특별자치도 제주시 중앙로1길 33 2층	"#옥돔국수 #제주생선치즈고로케 #생맥주
#한식 #음식 #감바스 #파스타 #육회 #수제맥주 #치킨가라아게"
534	용림식당	제주특별자치도 서귀포시 안덕면 사계남로 170-1	"#회 #횟집 #방어
#자연산 #음식 #해산물 #다금바리 #광어회 #고등어조림 #전복죽"
535	우무깨식당	제주특별자치도 제주시 우도면 우도해안길 356	"#해물라면 #한치물회 #김치찌개
#한식 #음식 #성게미역국 #성게국 #전복죽 #라면 #한치"
536	우정횟집	제주특별자치도 제주시 서부두길 16	"#회 #횟집 #해산물
#갈치조림 #성게국 #전복죽 #회덮밥 #음식 #새우튀김 #전복버터구이 #소라 #광어회 #돈까스 #고등어회 #전복물회 #소라물회"
537	원앤온리	제주특별자치도 서귀포시 안덕면 산방로 141	"#커플 #혼자 #친구
#휴식/힐링 #경관/포토 #청년 #음식 #포토스팟 #아보카도샐러드 #리코타치즈샐러드 #브런치 #파스타 #햄버거 #감자튀김 #치킨 #아메리카노 #카페라떼 #식당"
538	월드컵흑돼지	제주특별자치도 서귀포시 월드컵로 74	"#흑돼지 #전복 #냉면
#음식 #제육볶음 #갈비탕 #삼계탕 #오겹살"
539	월리월리	제주특별자치도 제주시 구좌읍 월정1길 70-6	"#퓨전음식음식 #해산물 #파스타
#덮밥 #음식"
540	월척수산	제주특별자치도 제주시 동한두기길 42-1	"#회 #일식 #횟집
#해산물 #매운탕 #초밥 #음식 #물회 #갈치회 #고등어회 #한치물회 #한치회 #전복물회 #갈치구이 #제주갈치구이 #고등어구이 #생선조림 #갈치조림 #제주갈치조림 #한치"
541	웬드구니	제주특별자치도 서귀포시 안덕면 사계신항로 1	"#커피 #쿠키 #마들렌
#팥빙수 #음식 #아메리카노 #카페라떼 #피자 #허니브레드 #샌드위치 #나쵸칩"
542	유스커피	제주특별자치도 제주시 구산로 54	"#카페 #셀프로스팅 #디저트
#플랫화이트 #둥둥라떼 #음식 #아메리카노 #카푸치노 #카페모카"
543	이성필 커피볶는집	제주특별자치도 제주시 이도2동 광양8길 1	"#커피 #차 #생과일에이드
#음식 #핸드드립커피 #아메리카노 #카페라떼 #바닐라라떼 #카푸치노"
544	이어도전복해물전문점	제주특별자치도 서귀포시 태평로 485 (동홍동)	"#전복 #해물 #해물탕
#해산물 #음식 #전복해물탕 #해물찜 #갈치조림 #제주갈치조림 #문어숙회 #전복버터구이"
545	인어공주	제주특별자치도 제주시 우도면 우도해안길 780-2	"#해물볶음 #한라산볶음밥 #땅콩막걸리
#음식"
546	일출봉쑥빵보리빵	제주특별자치도 서귀포시 성산읍 성산중앙로 30-3	"#오메기떡 #찐빵 #빵
#음식"
547	장승포식당	제주특별자치도 서귀포시 성산읍 동류암로 32	"#고등어조림 #해물전골 #해물뚝배기
#갈치회 #음식 #갈치조림 #제주갈치조림"
548	저스트쉬림프	제주특별자치도 제주시 애월읍 하귀10길 49-1	"#딱새우 #파스타 #샐러드
#리조또 #음식 #해물파스타 #크림파스타 #치킨샐러드 #리코타치즈샐러드"
549	저팔계깡통연탄구이	제주특별자치도 제주시 조천읍 신북로 531	"#연탄구이 #흑돼지 #제주돼지
#오겹살 #음식 #흑돼지구이 #김치찌개 #삼겹살"
550	전원일기	제주특별자치도 서귀포시 일주동로 8713	"#돔베고기 #정식 #향토음식
#한식 #음식 #고등어구이 #옥돔구이"
551	정봉자커피 봉개점	제주특별자치도 제주시 번영로 514	"#김밥 #호떡 #커피
#카페 #음료 #음식"
552	제대가는길	제주특별자치도 제주시 제주대학로 75-1	"#카페 #커피 #드립커피
#브런치 #음식 #핸드드립커피 #아메리카노 #카페라떼 #카페모카 #카푸치노 #바닐라라떼 #샌드위치"
553	제라한보쌈	제주특별자치도 제주시 정존1길 33	"#보쌈 #보쌈정식 #한식
#음식 #홍어회 #김치보쌈 #청국장"
554	제원분식	제주특별자치도 제주시 신광로6길 2	"#떡볶이 #튀김 #분식
#김밥 #음식 #땡초김밥 #김치김밥 #참치김밥 #멸치김밥 #식당"
555	제주 강남해물탕	제주특별자치도 서귀포시 대정읍 형제해안로 316	"#해물탕 #고등어구이 #옥돔구이
#전복회 #음식 #생선구이정식 #정식 #갈치구이 #생선조림"
556	제주 어가	제주특별자치도 제주시 1100로 3213-8	"#한식 #갈치조림 #갈치구이
#통갈치 #음식 #갈치 #제주갈치조림 #갈치회 #제주갈치구이"
557	제주뚝배기	제주특별자치도 서귀포시 성산읍 일출로 255	"#한치물회 #옥돔구이 #성게국
#물회 #옥돔 #한치 #전복해물뚝배기 #갈치조림 #전복죽 #고등어구이"
558	제주맥주 양조장	제주특별자치도 제주시 한림읍 금능농공길 62-11	"#친구 #맑음 #사계절
#맥주 #양조장 #브루어리투어 #피자 #음식 #수제맥주"
559	제주삼다국수	제주특별자치도 서귀포시 김정문화로 59-1	"#고기국수 #멸치국수 #돔베고기
#흑돼지샤브샤브 #음식 #흑돼지 #향토음식"
560	제주시 새우리	제주특별자치도 제주시 무근성7길 21 (삼도2동)	"#딱새우 #김밥 #새우컵밥
#음식 #해물라면 #에이드 #라면"
561	제주이야기	제주특별자치도 제주시 구좌읍 행원로13길 67	"#천연화장품 #천연꽃 #화산송이
#체험카페 #음식"
562	제주중문수제맥주	제주특별자치도 서귀포시 천제연로 264 (중문동)	"#맥주 #수제맥주 #피자
#소시지 #음식 #페페로니햄피자 #감자튀김 #와인 #치킨"
563	제주진미마돈가	제주특별자치도 서귀포시 안덕면 대평감산로 17	"#말고기 #말코스요리 #한식
#음식 #흑돼지 #흑돼지구이 #오겹살 #말고기사시미 #사시미"
564	제주틈	제주특별자치도 제주시 한림읍 일주서로 5153	"#흑돼지 #날치알쌈 #한식
#음식 #리조트 #치킨리조또 #크림파스타 #감바스 #와인 #파스타 #오일파스타 #새우로제파스타"
565	중문대들보	제주특별자치도 서귀포시 천제연로 135	"#정식 #옥돔구이 #흑돼지볶음
#성게미역국 #한식 #생선구이정식 #전복뚝배기"
566	중문솥뚜껑	제주특별자치도 서귀포시 이어도로 81	"#흑돼지 #흑오겹 #흑목살
#음식 #흑돼지구이 #돼지구이 #오겹살 #삼겹살 #목살 #항정살 #된장찌개 #김치찌개"
567	중문수두리보말칼국수	제주특별자치도 서귀포시 천제연로 192	"#중문관광단지 #보말칼국수 #성게전복죽
#아침식사 #중문맛집 #음식 #식당"
568	중문자연산횟집	제주특별자치도 서귀포시 중문로 11	"#성게미역국 #횟집 #게장
#해물탕 #음식 #물회 #해산물 #회 #고등어회 #광어회 #갈치 #갈치회"
569	진대감12제주	제주특별자치도 제주시 광평동로 45	"#광양불고기 #차돌삼합 #흑돼지
#한식 #음식 #차돌박이"
570	창천삼거리식당	제주특별자치도 서귀포시 안덕면 일주서로 1332	"#옥돔구이 #해물뚝배기 #한식
#음식 #옥돔 #향토음식"
571	청도해물탕	제주특별자치도 제주시 서해안로 546	"#해물탕 #오메기떡 #전복
#음식 #전복뚝배기 #해물뚝배기 #갈치구이 #제주갈치구이"
572	추자도중앙식당	제주특별자치도 제주시 추자면 추자로 8-1	"#한식 #굴비정식 #조기매운탕
#갈비탕 #정식 #음식 #김치찌개 #매운탕"
573	춘희	제주특별자치도 제주시 구좌읍 해녀박물관길 33-2	"#핫도그 #빙수 #돼지고기요리
#음식"
574	칠사돈	제주 제주시 애월읍 하광로 17	"#흑돼지 #김치찌개 #백반정식
#음식 #흑돼지구이 #오겹살"
575	카카듀	제주특별자치도 제주시 박성내서길 18	"#카페 #커피 #녹차빙수
#빙수 #음식 #허니브레드 #샌드위치"
576	카페백퍼	제주특별자치도 제주시 애월읍 일주서로 7063	"#카페 #스콘 #음료
#음식"
577	카페소금	제주특별자치도 제주시 애월읍 구엄길 96	"#소금라떼 #카페 #라떼
#음료 #음식 #아메리카노 #카페라떼"
578	카페이피엘	제주특별자치도 서귀포시 남원읍 위미항구로 8 (위미리) 카페이피엘	"#베이커리카페 #보타닉카페 #커피
#브런치 #위미리카노 #음식 #도시락 #디저트 #빵"
579	카페코지	제주특별자치도 서귀포시 성산읍 한도로 200	"#카페 #지오푸드 #쑥식빵
#음식 #빵 #아메리카노 #에스프레소 #카페라떼 #디저트 #바닐라라떼"
580	카페콧수염	제주특별자치도 제주시 구좌읍 해맞이해안로 402	"#카페 #마카롱 #딸기우유
#디저트 #음식 #수제마카롱 #밀크티 #딸기라떼"
581	카페헤밍웨이	제주특별자치도 제주시 한림읍 한림로 431	"#카페 #커피 #샌드위치
#음식 #아메리카노 #카페라떼 #카페모카 #레몬에이드 #에이드 #망고에이드 #자몽에이드 #디저트 #에스프레소"
582	커피가게쉬고가게	제주특별자치도 서귀포시 표선면 민속해안로 593	"#카페 #커피 #음료
#디저트 #음식 #요거트 #팥빙수 #망고빙수 #핸드드립커피 #애플망고스무디 #꽃차"
583	컬쳐드	제주특별자치도 제주시 승천로 81	"#양식 #파스타 #샐러드
#피자 #볶음밥 #음식 #브런치 #디저트 #크림파스타 #미트볼파스타"
584	코코리파이프	제주특별자치도 제주시 애월읍 하귀6길 22	"#치킨 #제주갈치 #비스트로
#음식 #파스타 #해물파스타 #크림파스타 #아메리카노 #카페라떼 #바닐라라떼 #레몬에이드"
585	코코분식	제주특별자치도 제주시 신성로 104	"#육개장 #칼국수 #한식
#음식 #비빔밥 #식당"
586	키아스마	제주특별자치도 서귀포시 남원읍 태위로 255	"#카페 #브런치 #감바스까수엘라
#음료 #음식"
587	킴스커틀렛	제주특별자치도 제주시 구남로4길 11	"#왕돈가스 #양식 #파스타
#피자 #음식 #경양식돈가스 #해물볶음우동"
588	탐라면	제주특별자치도 제주시 애월읍 애월로 37	"#라면 #비빔라면 #고기라면
#주먹밥 #볶음밥 #음식 #해물라면 #해물찜 #해물탕"
589	탑부평	제주특별자치도 제주시 관덕로15길 26	"#흑돼지 #한식 #냉면
#볶음밥 #음식 #오겹살 #돼지구이 #양념갈비 #갈비 #가브리살 #항정살"
590	텐피자	제주특별자치도 서귀포시 대정읍 형제해안로 268	"#피자 #커피 #스파게티
#음식 #스파 #페페로니햄피자 #아메리카노 #에스프레소 #카페라떼"
591	팜알로하	제주특별자치도 서귀포시 쇠소깍로 122	"#카페 #한라봉 #브런치
#음식 #커피 #디저트"
592	픽스커피	제주특별자치도 제주시 신설로11길 2	"#진저라떼 #헤이즐넛라떼 #카페
#음식 #아메리카노 #핸드드립커피 #커피 #에스프레소 #카페라떼 #바닐라라떼"
593	하와유제주	제주특별자치도 제주시 애월읍 하귀로 85	"#카페 #에이드 #초콜릿
#음식"
594	하와이새우트럭	제주특별자치도 제주시 노형13길 16	"#푸드트럭 #갈릭새우 #학새우
#막국수 #음식 #새우볶음밥"
595	한라산빵 1950	제주특별자치도 제주시 구산로 28	"#빵 #한라산빵 #음료
#음식 #디저트 #수제초콜릿"
